คำศัพท์,ความหมาย,ตัวอย่างประโยค
architecture (n),สถาปัตยกรรม,There are examples of most styles of architecture in the town.
abandon (v),ละทิ้ง,People often simply abandon their pets when they go abroad.
accommodation (n),ที่พัก,We may have to provide alternative accommodation for you.
accommodate (v),จัดที่อยู่ให้,The hotel can accommodate up to 500 guests.
addictive (adj),เสพติด,The game is very addictive.
abide by (phrv),ยอมปฏิบัติตาม,You’ll have to abide by the rules of the club.
automobile (n),รถยนต์,Learning to drive an automobile is not easy.
architect (n),"ผู้สร้าง, สถาปนิก",She’s a London-based architect and interior designer.
abolish (v),"ล้มเลิก, ทำลาย",She campaigned to abolish the death penalty altogether.
acceleration (n),"การเร่ง, การเพิ่มความเร็ว",There has been a rapid acceleration in the growth of industry.
accelerate (v),"เร่ง, เร่งให้เกิดขึ้น",The pace of change has begun to accelerate.
appoint (v),"แต่งตั้ง, กำหนดวัน",They have appointed a new head teacher at my son’s school.
appeal (n),"ร้องขอ, ขออุทรณ์",Police appealed to the public for information about the crime.
accountant (n),นักบัญชี,We talked to the company’s chief accountant.
amend (v),แก้ไข,Parliament will vote to amend the constitution.
apprise (v),แจ้งข่าว,He saw no reason to apprise the committee of what had happened.
appealing (adj),"ซึ่งดึงดูดใจ, มีเสน่ห์",The large salary made their offer even more appealing to him.
assume (v),"สันนิษฐานเอาเอง, แสร้ง",It’s all too easy to assume that people know what they are doing.
adventure (n),การผจญภัย,Our trip to London was quite an adventure for the children.
anticipate (v),คาดการณ์,They anticipate their needs for the next quarter.
access (n),ทางเข้า,The police gained access through a broken window.
analogy (n),การเปรียบเทียบ,The teacher drew an analogy between the human heart and a pump.
anarchy (n),อนาธิปไตย,There was complete anarchy in the classroom when their usual teacher was away.
antagonism (n),การต่อต้าน,The new rules will create a lot of antagonism.
arrogance (n),ความเย่อหยิ่ง,He has a reputation for rudeness and intellectual arrogance.
agitate (v),"ปั่นป่วน, ปลุกระดม",This remark seemed to agitate her guest.
acid rain (n),ฝนกรด,"Sulphur, falling as acid rain, is killing fish in the Great Lakes."
aggregate (v),รวบรวม,The scores were aggregated with the first round totals to decide the winner.
ancient (adj),โบราณกาล,Archaeologists are excavating the ruined temples of this ancient civilization.
aggravate (v),ทำให้แย่ลง,The government’s actions will only aggravate the problem.
acquire (v),ได้มา,I would love to apply the newly acquired skills to a job that I enjoy.
acquisitive (adj),โลภ,It is an acquisitive company looking for ways to expand.
athlete (n),นักกีฬา,She’s a superbly gifted all-round athlete.
adhere,"ติดแน่น, ยึดแน่น","Clean the surface first, or the paint will not adhere."
avoidance (n),การเลี่ยง,A person’s health improves with the avoidance of stress.
avoid (v),หลีกเลี่ยง,They are anxious to avoid any further misunderstandings.
acknowledge (adj),เป็นที่รับรู้,I have to acknowledge the fact that I am partly responsible.
absorb (v),ดูดซึม,Plants absorb carbon dioxide from the air.
archeology (n),โบราณคดี,They’ve got it on display at the National Archeology Museum in Athens.
anomaly (n),"ความแปลก, ความผิดปกติ",There are areas of anomaly in the report.
agriculture (n),วิชาการเกษตร,The number of people employed in agriculture has fallen in the last decade.
adjoin (v),"ใกล้ชิด, ติดกับ",A barn adjoins the farmhouse.
alliance (n),"สหพันธ์, พันธมิตร",The Social Democrats are now in alliance with the Greens.
antipathy (n),ความเกลียดชัง,There was a lot of antipathy between the two doctors.
attitude (n),ทัศนคติ,"I try to have a healthy, positive attitude to life."
accumulate (v),"สะสม, พอกพูน",I seem to have accumulated a lot of books.
aversion (n),การยับยั้ง,People can be helped to overcome their aversion to snakes.
belief (n),ความเชื่อ,She has lost her belief in God.
bookworm (n),หนอนหนังสือ,He must be a bookworm to read ten books every day.
buddhism (n),ศาสนาพุทธ,She became interested in Zen Buddhism.
benefit (n),ผลประโยชน์,I’ve had the benefit of a good education.
business (n),ธุรกิจ,She has set up in business as a hairdresser.
behave (v),ประพฤติตัว,They behaved very badly towards their guests.
barren (adj),"ไม่มีประโยชน์, แห้งแล้ง","It is a barren wasteland riddled with fire, and ash and dust."
belligerent (adj),เป็นปฏิปักษ์,He is always very belligerent towards me.
biology (n),วิชาชีววิทยา,She’s a professor of biology at Stanford.
border (v),ตีขอบเขต,The large garden is bordered by a stream.
broaden (v),"ทำให้กว้างขึ้น, ขยับขยาย",Spending a year working in the city helped to broaden his horizons.
benefactor (n),ผู้อุปถัมภ์,The equipment was funded by friends and benefactors of the hospital.
barrier (n),อุปสรรค,The crowd managed to break through the barriers and get onto the pitch.
barter,แลกเปลี่ยนสินค้า,The prisoners tried to barter with the guards for items like writing paper and books.
besiege (v),โอบล้อมด้วยศัตรู,Paris was besieged for four months and forced to surrender.
budget (n),งบประมาณ,The work was finished on time and within budget.
banish (v),เนรเทศ,"He was banished to Australia, where he died five years later."
bestow (v),มอบให้,It was a title bestowed upon him by the king.
byproduct (n),ผลพลอยได้,One of the by-products of unemployment is an increase in crime.
broad (adj),กว้าง,He’s got broad shoulders.
bleak (adj),โดยสิ้นหวัง,The future looks bleak for the fishing industry.
bargain,ต่อรอง,He was prepared to bargain about money.
breeze (n),สายลมที่พัดเบา ๆ,I felt the breeze on my face.
blizzard (n),พายุหิมะ,"The blizzard struck the north-east yesterday, causing serious damage."
belittle (v),"ดูถูก, ด้อยค่า",She felt her husband constantly belittled her achievements.
baseball (n),กีฬาเบสบอล,The old man had talked to the boy about baseball as always.
basketball (n),บาสเกตบอล,You play basketball for the Los Angeles Lakers.
blemish (n),ตำหนิ,The police say the suspect has a slight blemish on his left cheek.
clog (v),"ขวาง, กีดขวาง, อัดแน่นไปด้วย",Within a few years the pipes began to clog up.
complexion (n),ผิว,"Her auburn hair and blue eyes, together with a fine complexion, made her extremely attractive."
coal (n),ถ่านหิน,I put more coal on the fire.
consumerism (n),บริโภคนิยม,She was appalled by the greed and rampant consumerism she saw in modern society.
contaminate (v),ปนเปื้อน,He drinking water has become contaminated with lead.
compress (v),บีบอัด,"As more snow fell, the bottom layer was compressed into ice."
comply (v),"เชื่อฟัง, ปฏิบัติตาม",They refused to comply with the UN resolution.
catalogue (n),บัญชีรายชื่อ,She consulted the museum catalogue.
consensus (n),ความเห็นส่วนใหญ่,It is difficult to reach a consensus about electoral reform.
centerpiece (n),ลักษณะหลักๆหรือสำคัญที่สุด,This treaty is the centerpiece of the government’s foreign policy.
consistent (adj),สอดคล้องกัน,His attitude isn’t absolutely consistent.
competition (n),กิจกรรมการแข่งขัน,Hundreds of schools entered the competition.
confront (v),เผชิญหน้า,He is willing to confront problems directly.
chemical (adj),ทางเคมี,It seems to be losing its chemical strength.
chronology (n),ตามลำดับเวลา,We need to establish the exact chronology of this process.
collection (n),การเก็บรวบรวม,The first stage in research is data collection.
calamity (n),เหตุการณ์ที่เลวร้าย,His financial help saved the magazine from total calamity.
comfortable (adj),สะดวกสบาย,The hotel was comfortable enough.
conduct (v),"จัดการ, นำ",They conduct workshops on topics such as women’s legal rights.
canoeing (n),การพายเรือแคนู,Canoeing is an Olympic sport.
conquer (v),"พิชิต, เอาชนะ",The world champion conquered yet another challenger last night.
conventional (adj),"ประเพณีนิยม, ธรรมดา",He turned out to be a very conventional young man.
convenient (adj),เหมาะสม,A bicycle is often more convenient than a car in towns.
content (n),เนื้อหา,We plan to spend more on creating content for the website.
contemplate (v),ครุ่นคิด,He was very depressed and even contemplated suicide.
confidential (adj),ที่เป็นความลับ,There is concern about several confidential documents which have gone missing.
contemporary (adj),ร่วมสมัย,He is among the best-known contemporary artists.
contradict (v),ขัดแย้ง,The two stories contradict each other.
court (n),ศาล,She will appear in court tomorrow.
contagion (n),"การติดโรค, การแพร่",There is no risk of contagion
compulsory (adj),"ที่จำเป็นต้องทำ, ที่บังคับ",The strikers are protesting against the threat of compulsory redundancies.
convert (v),เปลี่ยน,The hotel is going to be converted into a nursing home.
contract (n),สัญญา,All employees have a written contract of employment.
cycling (n),การขี่รถจักรยาน,Cycling is Europe’s second most popular sport.
collaborate (v),ร่วมมือ,She agreed to collaborate with him in writing her biography.
convene (v),"ชุมนุมกัน, รวมตัวกัน",They decided to convene an extraordinary general meeting.
commute (v),ไปๆมาๆเสมอ,She commutes from Oxford to London every day.
convey (v),"สื่อสาร, ถ่ายทอด, ลำเลียง",He tried desperately to convey how urgent the situation was.
conviction (n),ความเชื่อมั่น,She was motivated by deep religious conviction.
container ship (n),เรือคอนเทนเนอร์,"Shipyards churn out oil tankers, container ships and gas tankers to cater for the demands of globalized industrial production."
canal boat (n),เรือคลอง,We hired a canal boat in France.
circumscribe (v),จำกัด,The power of the monarchy was circumscribed by the new law.
contribute,มีส่วนช่วย,Many people contributed generously to the appeal.
civilian (n),พลเรือน,Two soldiers and one civilian were killed in the explosion.
consume (v),"ใช้, บริโภค",The electricity industry consumes large amounts of fossil fuels.
consumption (n),"การบริโภค, การใช้หมดไป",He was advised to reduce his alcohol consumption.
consumptive (adj),เกี่ยวกับการบริโภค,"Hunting, mining and consumptive activities are not permitted in a National Park."
contemptuous (adj),อย่างดูถูกผู้อื่น,The company has shown a contemptuous disregard for Henry’s complaints.
combustion (n),กระบวนการการเผาไหม้,Poisonous gases are produced during fossil fuel combustion.
compensation (n),ค่าทดแทน,The employer has a duty to pay full compensation for injuries received at work.
correlate (v),"มีลักษณะร่วมกัน, สัมพันธ์กัน",The figures do not seem to correlate.
craftsman (n),ช่างฝีมือ,It is clearly the work of a master craftsman.
coincidence (n),การเกิดขึ้นพร้อมกัน,"By coincidence, we both went to the same school."
corrode (v),กัดกร่อน,The copper pipework has corroded in places.
charge (n),ค่าธรรมเนียม,The company will deliver free of charge.
capture (v),จับตัว,Allied troops captured over 300 enemy soldiers.
council (n),คณะกรรมการ,The decision still has to be ratified by the full council.
categorize (v),จัดหมวดหมู่,Her work is difficult to categorize.
category (n),หมวด,We have created a special category for part-time workers.
classification (n),การแบ่งประเภท-หมวดหมู่,The material was put into the highest security classification.
compelling (adj),ที่กระตุ้นความสนใจ,Her latest book makes compelling reading.
coincide (v),เกิดขึ้นพร้อมกัน,It’s a pity our trips to New York don’t coincide.
cuisine (n),ประเภทอาหาร,London offers a wide variety of foreign cuisines.
clench (v),กำแน่น,His fists clenched slowly until his knuckles were white.
crispness (n),ความสดชื่น,The salad had lost its crispness.
cast (v),"ขว้าง, เหวี่ยง",The priceless treasures had been cast into the Nile.
conceive (v),เข้าใจ,I cannot conceive of it!
conceptual (adj),ที่เกี่ยวกับกรอบความคิด,He has no conceptual understanding of physics at all.
conception (n),การเข้าใจ,I had a rather romantic conception of life in the country.
concept (n),"ความคิด, แนวคิด",Culture is a fairly nebulous concept.
circulate (v),"หมุนเวียน, ไหลเวียน",The heart circulates blood around the body.
ceremony (n),"พิธี, พิธีการ",They were married in a simple ceremony.
carve (v),แกะสลัก,She carves in both stone and wood.
construction (n),"การสร้าง, การก่อสร้าง",Major engineering challenges will be faced during construction.
cherish (v),รักและใส่ใจ,Children need to be cherished.
certainly (adv),อย่างแน่นอน,I’m certainly never going there again.
caution (n),การตักเตือน,The information on the website should be treated with some caution.
dawn (n),"การเริ่มขึ้น, รุ่งอรุณ",This appointment marked the dawn of a productive era in her scientific career.
decision (n),การตัดสินใจ,Her parents respected her decision not to marry.
debris (n),ซากปรักหักพัง,She found a pair of children’s shoes among the debris.
degree (n),"ความเข้มข้น, ระดับ",Today we rely on computer technology to an unprecedented degree.
decapitate (v),ตัดหัว,His decapitated body was found floating in a canal.
decorate (v),"ประดับประดา, ตกแต่ง",The family gets together on Christmas Eve to decorate the tree.
decoration (n),"การประดับประดา, เครื่องประดับ",The decorations were taken down and put away for another year.
decorative (adj),ซึ่งเป็นการประดับ-ตกแต่ง,The style is ornate and highly decorative.
decorator (n),ช่างตกแต่ง,She became a painter and decorator.
deceptive (adj),"ซึ่งหลอกลวง, อย่างโกหก, ที่สร้างความหลงผิด",The firm was found guilty of publishing a misleading and deceptive advertisement.
decompose,"เน่าเปื่อย, ย่อยสลาย",Water decomposes into oxygen and hydrogen.
decree (v),พิพากษา,They had decreed where I should live and what work I should do.
dedicate (v),อุทิศ,She dedicates herself to her work.
detain (v),กักขัง,Prisoners cannot be detained indefinitely without charge.
delicate (adj),ละเอียดอ่อน,The eye is one of the most delicate organs of the body.
deliberate (adj),ซึ่งทำอย่างรอบคอบและตั้งใจ,She spoke in a slow and deliberate way.
delegate (v),มอบให้ทำแทน,I delegate to my assistant whenever possible.
demonstration (n),การสาธิต,I’ll give a quick demonstration of some first-aid techniques.
depict (v),"วาด, พรรณนา",The artist had depicted her lying on a bed.
destruction (n),"การทำลาย, วิธีการทำลาย",Some shopkeepers closed early to prevent the wholesale destruction of their property by the hooligans.
designer (n),นักออกแบบ,She works as a set designer for the Royal Opera House.
defiant (adj),แสดงการท้าทาย,She had suddenly turned into a defiant teenager.
dilemma (n),สภาวะลำบาก,The dilemma facing the country’s allies was even more serious.
deform (v),ทำให้ผิดรูปผิดร่าง,The pressure had caused the wall to deform and buckle.
deferential (adj),ซึ่งแสดงความเคารพ,He was always deferential towards his mentor.
deforestation (n),ตัดไม้ทำลายป่า,Deforestation of the Amazon rainforest increased in the early 2000s.
diverse (adj),"ต่างๆนานา,หลากหลาย,แตกต่างกัน,มากมาย",The school is a richly diverse community.
distribute (v),แจกจ่าย,The newspaper is distributed free.
disaster (n),"ภัยพิบัติ, ความหายนะ",They provided more than $2.3 billion in disaster relief.
diagnose (v),วินิจฉัย (ทางการแพทย์),His cancer was first diagnosed last year.
driving licence (n),ใบขับขี่,I got my driving licence when I was eighteen.
discharge (v),"ปลดออก, ขับออก",She was discharged from the police force for bad conduct.
disclose (v),เปิดเผย,I cannot disclose what we discussed.
duplicate (v),"ทำสำเนา, จำลอง",Please keep the duplicated form and send us the original.
dull (adj),น่าเบื่อ,The long lectures made the afternoon dull.
disturb (v),รบกวน,"If you get up early, try not to disturb everyone else."
drought (n),ภัยแล้ง,Farmers are facing ruin after two years of severe drought.
expand (v),ขยาย,He has plans to expand beyond computer consulting to include engineer training.
exciting (adj),ที่น่าตื่นเต้น,This is an exciting opportunity for me.
equipment (n),"อุปกรณ์, เครื่องมือ",The local council is supplying new play equipment for the playground.
eject (v),"ขับไล่, ดันออกมา",He was forcibly ejected from the restaurant.
equip (v),"ติดตั้ง, จัดให้มี",She got a bank loan to rent and equip a small workshop.
equally (adv),อย่างเท่าเทียมกัน,Everyone should be treated equally.
eloquent (adj),มีวาทศิลป์,He grew very eloquent on the subject.
elite (n),กลุ่มคนที่ร่ำรวยกว่าคนอื่น,He was an influential member of the ruling elite.
embrace (v),สวมกอด,She embraced her son warmly.
embarrass (v),ทำให้อาย,Her questions about my private life embarrassed me.
entitle (v),ให้สิทธิ,This ticket does not entitle you to travel first class.
egocentric (adj),ซึ่งเห็นแก่ตัว,He was a supremely egocentric man.
energetic (adj),ซึ่งมีพลัง,She seems remarkably energetic for a woman her age.
entrepreneur (n),ผู้ประกอบการ,"A creative entrepreneur, he was continually dreaming up new projects."
encourage (v),"ส่งเสริม, สนับสนุน",She encouraged many young writers and artists.
enhance (v),ปรับปรุงให้ดี,This is an opportunity to enhance the reputation of the company.
encyclopedia (n),สารานุกรม,I looked the Civil War up in my encyclopedia.
engender (v),ก่อให้เกิด,The issue engendered controversy.
economy (adj),ที่ราคาถูกกว่า,Buy the large economy pack.
economics (n),วิชาเศรษฐศาสตร์,He studied politics and economics at Yale.
economize (v),ประหยัด,"Old people often try to economize on heating, thus endangering their health."
efficiency (n),ประสิทธิภาพ,She has run the project with great efficiency.
ecosystem (n),ระบบนิเวศน์,Islands often support delicate ecosystems that evolved without any need for defence.
evolution (n),วิวัฒนาการ,Finally it was legal to teach evolution everywhere in America.
evaluate (v),ประเมิน,We need to evaluate how well the policy is working.
eventual (adj),เกิดขึ้นสุดท้าย,The village school may face eventual closure.
evaporate (v),ระเหย,Heat until all the water has evaporated.
epidemic (n),โรคระบาด,"An epidemic of measles broke out, and over 200 children died."
erect (v),"ทำให้ตั้งขึ้น, สร้างขึ้น",Keep your trunk erect throughout the exercise.
eradicate (v),ถอนรากถอนโคน,Smallpox had been completely eradicated from the world.
essentially (adv),โดยพื้นฐาน,"He was, essentially, a teacher, not a manager."
esteem (n),ความเคารพ,I have great esteem for you.
extravagant (adj),ฟุ่มเฟือย,She’s got very extravagant tastes.
exploit (v),เอาเปรียบ,The opposition parties will always exploit government problems to their own advantage.
extradite (v),ส่งผู้ร้ายข้ามเแดน,The British government attempted to extradite the suspects from Belgium.
emerge (v),ปรากฎ,The swimmer emerged from the lake.
expedition (n),"คณะเดินทาง, การเดินทาง",The expedition returned only two weeks after it had left.
excavate,ขุดค้น,The site has been excavated by archaeologists.
exhibit (v),แสดง,He longed for the chance to exhibit his work publicly.
ethic (n),จริยธรรม,He began to question the ethics of his position.
famished (adj),หิวมาก,When’s lunch? I’m famished!
fabricate (v),ปลอมแปลง,The prisoner claimed the police had fabricated his confession.
favour (n),ความช่วยเหลือ,Could you do me a favour and pick up Sam from school today?
fabulous (adj),เหลือเชื่อ,The food looks fabulous.
faithful (adj),เชื่อถือได้,He has been a very faithful friend to me.
federal (adj),เกี่ยวกับสหพันธรัฐ,There is a plan to introduce random drug testing of federal workers.
fossil fuel (n),เชื้อเพลิงฟอสซิล,Carbon dioxide is produced in huge amounts when fossil fuels are burned.
finding (n),ผลของการสืบค้น,This result confirms the findings of many previous studies.
fidelity (n),ความภักดี,They still maintain fidelity to their religious tradition.
firewood (n),"ฟืน,ไม้ที่ใช้ทำเป็นเชื้อเพลิง","Please, get me some firewood."
finally (adv),ในที่สุด,I finally managed to get her attention.
forbid (v),ห้าม,She knew her mother would forbid her going.
forgiveness (n),การให้อภัย,He begged forgiveness for what he had done.
formulate (v),"สร้างขึ้น, คิดวิธี",This new kitchen cleaner is formulated to cut through grease and dirt.
freight train (n),รถไฟบรรทุกสินค้า,The freight train just left for Des Moines.
fatigue (n),ความเหนื่อยล้า,I was dropping with fatigue and could not keep my eyes open.
facilitate (v),อำนวยความสะดวก,Banking secrecy laws need to be lifted in order to facilitate investigation.
fatal (adj),ซึ่งทำให้ถึงตาย,f she gets ill again it could prove fatal.
fictional (adj),"แต่งขึ้น, สมมติ",The names of the characters are entirely fictional.
flight attendant (n),พนักงานต้อนรับบนเครื่องบิน,The flight attendant is handing out some snacks.
fluctuate (v),ผันผวน,The number of boys at the school fluctuates around 100.
fragrance (n),"กลิ่นหอม, ความหอม, น้ำหอม",The fragrance of lavender filled the room.
fascinate (v),ทำให้สนใจ หลงใหล,China has always fascinated me.
feminine (adj),เกี่ยวกับผู้หญิง,Her name fits in with a traditionally feminine image.
fetish (n),"เครื่องราง, ของขลัง",He makes a fetish of his work.
